aar,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)"
1990,7847
1991,7680
1992,8148
1993,8571
1994,9319
1995,9485
1996,10340
1997,10746
1998,10446
1999,10977
2000,12247
2001,13139
2002,12914
2003,13147
2004,13342
2005,13398
2006,13100
2007,14469
2008,14222
2009,13154
2010,13324
2011,13077
2012,13192
2013,13162
2014,13858
2015,14373
2016,14063
2017,13782
2018,13621
2019,13459
2020,12730
2021,11708
2022,11690
