aar,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)"
1990,221
1991,189
1992,154
1993,182
1994,158
1995,175
1996,156
1997,153
1998,137
1999,133
2000,111
2001,116
2002,118
2003,106
2004,96
2005,92
2006,85
2007,82
2008,77
2009,72
2010,66
2011,61
2012,65
2013,68
2014,72
2015,75
2016,78
2017,81
2018,91
2019,101
2020,111
2021,111
2022,112
