aar,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)"
1990,7289
1991,7174
1992,7207
1993,7380
1994,7277
1995,7396
1996,7769
1997,7755
1998,7988
1999,8418
2000,8247
2001,8748
2002,8826
2003,8972
2004,9270
2005,9429
2006,9710
2007,9941
2008,9807
2009,9656
2010,9904
2011,9839
2012,9864
2013,9911
2014,10121
2015,10152
2016,9883
2017,9003
2018,9240
2019,8598
2020,8255
2021,8576
2022,8582
