aar,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)"
1990,11457
1991,10596
1992,10939
1993,11666
1994,12707
1995,12295
1996,13140
1997,13083
1998,13331
1999,12866
2000,12920
2001,12557
2002,11645
2003,12157
2004,12336
2005,11825
2006,11924
2007,11789
2008,11804
2009,10196
2010,11202
2011,11225
2012,11024
2013,11105
2014,10779
2015,11105
2016,10810
2017,11284
2018,11303
2019,10866
2020,10801
2021,11065
2022,11031
