aar,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)"
1990,3113
1991,3080
1992,3093
1993,3075
1994,3120
1995,3122
1996,3151
1997,3095
1998,3099
1999,3144
2000,3004
2001,2986
2002,2973
2003,3026
2004,2992
2005,3005
2006,2942
2007,2922
2008,2923
2009,2965
2010,2948
2011,2871
2012,2882
2013,2912
2014,2936
2015,2982
2016,3041
2017,3029
2018,3010
2019,2922
2020,2924
2021,2966
2022,2917
