aar,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)"
1990,23
1991,21
1992,22
1993,23
1994,23
1995,27
1996,28
1997,29
1998,29
1999,30
2000,28
2001,28
2002,28
2003,37
2004,42
2005,43
2006,45
2007,76
2008,86
2009,94
2010,102
2011,111
2012,124
2013,135
2014,147
2015,149
2016,136
2017,141
2018,117
2019,114
2020,114
2021,116
2022,139
