aar,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)"
1990,86
1991,82
1992,78
1993,75
1994,72
1995,68
1996,63
1997,59
1998,55
1999,51
2000,48
2001,46
2002,44
2003,42
2004,39
2005,37
2006,35
2007,33
2008,31
2009,29
2010,28
2011,28
2012,30
2013,30
2014,29
2015,29
2016,29
2017,30
2018,29
2019,30
2020,27
2021,27
2022,21
