aar,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)"
1990,5227
1991,5039
1992,5387
1993,5586
1994,5778
1995,6470
1996,6876
1997,7159
1998,7373
1999,7437
2000,6419
2001,6507
2002,6465
2003,6382
2004,6490
2005,6333
2006,6687
2007,6875
2008,6647
2009,6589
2010,7019
2011,7100
2012,7295
2013,7406
2014,7452
2015,7257
2016,7196
2017,7298
2018,7512
2019,7499
2020,7186
2021,7294
2022,7503
