aar,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)"
1990,49
1991,48
1992,51
1993,55
1994,57
1995,56
1996,57
1997,59
1998,60
1999,59
2000,52
2001,53
2002,53
2003,52
2004,52
2005,52
2006,54
2007,57
2008,55
2009,54
2010,55
2011,56
2012,58
2013,59
2014,58
2015,58
2016,59
2017,59
2018,62
2019,61
2020,57
2021,60
2022,62
