aar,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)"
1990,50
1991,52
1992,53
1993,56
1994,59
1995,63
1996,70
1997,73
1998,74
1999,74
2000,75
2001,76
2002,77
2003,75
2004,74
2005,53
2006,53
2007,56
2008,56
2009,56
2010,59
2011,63
2012,68
2013,70
2014,73
2015,77
2016,80
2017,84
2018,87
2019,88
2020,84
2021,85
2022,84
