aar,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)"
1990,1602
1991,1596
1992,1589
1993,1572
1994,1557
1995,1573
1996,1593
1997,1587
1998,1596
1999,1579
2000,1574
2001,1541
2002,1540
2003,1577
2004,1584
2005,1582
2006,1560
2007,1573
2008,1560
2009,1518
2010,1468
2011,1503
2012,1509
2013,1529
2014,1570
2015,1591
2016,1590
2017,1573
2018,1561
2019,1594
2020,1597
2021,1614
2022,1566
