aar,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)"
1990,1852
1991,1718
1992,1245
1993,1431
1994,1492
1995,1494
1996,1480
1997,1469
1998,1538
1999,1738
2000,1572
2001,1532
2002,1754
2003,1588
2004,1708
2005,1798
2006,1521
2007,1338
2008,952
2009,509
2010,471
2011,429
2012,416
2013,371
2014,349
2015,358
2016,296
2017,270
2018,257
2019,253
2020,211
2021,197
2022,250
