aar,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)"
1990,325
1991,314
1992,296
1993,311
1994,308
1995,291
1996,304
1997,305
1998,309
1999,321
2000,325
2001,312
2002,317
2003,364
2004,317
2005,325
2006,320
2007,343
2008,307
2009,306
2010,289
2011,322
2012,291
2013,319
2014,304
2015,297
2016,239
2017,185
2018,186
2019,183
2020,182
2021,183
2022,182
